dl1,dl2,dl3,x_pcc,y_pcc,z_pcc,x_real,y_real,z_real,dx,dy,dz
0.37433,0.0,0.0,0.0,2.747631,109.954232,1.716706,4.459562,110.977661,1.716706,1.71193,1.023429
8.200816,0.0,0.0,0.0,55.474917,88.355438,-16.051194,69.821329,69.136689,-16.051194,14.346412,-19.218748
0.0,0.0,8.572945,49.769787,-28.7346,86.433845,62.674246,-36.436321,65.702298,12.904458,-7.701721,-20.731547
0.0,6.70092,0.0,-40.510205,-23.388578,95.37388,-55.914597,-18.54026,85.223744,-15.404392,4.848318,-10.150135
9.221138,0.0,1.854714,10.869379,56.124136,86.733846,-5.719764,73.634944,62.651238,-16.589143,17.510808,-24.082608
0.0,0.460599,5.157499,29.225879,-20.182967,101.9406,37.374907,-26.223146,98.924583,8.149028,-6.04018,-3.016016
1.97279,3.814662,0.0,-24.24836,0.480464,106.350247,-28.718458,1.887,103.969673,-4.470099,1.406535,-2.380574
0.0,8.907846,6.470343,-14.622571,-53.262703,88.579129,-36.00893,-61.185993,63.041153,-21.386359,-7.923289,-25.537976
7.31424,0.0,0.0,0.0,50.454843,92.649923,-12.743993,65.852056,79.132906,-12.743993,15.397213,-13.517018
0.0,1.252663,8.372698,42.266353,-32.988989,90.030434,54.280416,-43.827611,72.084294,12.014063,-10.838621,-17.94614
0.0791,0.0,0.0,0.0,0.580202,109.99796,1.588006,2.15356,110.397156,1.588006,1.573359,0.399196
0.0,3.778443,6.728284,18.32872,-37.691233,98.512679,17.218642,-51.791745,88.614894,-1.110078,-14.100512,-9.897785
0.0,0.0,7.763511,45.937942,-26.522283,90.524896,59.701183,-33.476014,74.639644,13.763242,-6.953731,-15.885251
6.071668,0.0,1.467982,9.103485,38.221562,100.007329,2.830675,50.578777,93.784657,-6.27281,12.357215,-6.222672
8.770458,0.428312,0.0,-2.490843,57.45676,86.392372,-19.657289,71.159739,65.127219,-17.166446,13.702979,-21.265153
2.722887,0.0,9.616048,56.310395,-14.099248,85.849451,76.006609,-11.032254,61.317623,19.696214,3.066994,-24.531828
1.892275,0.0,0.0,0.0,13.881978,108.823251,1.507804,16.708433,108.680676,1.507804,2.826455,-0.142575
0.0,8.843739,0.0,-50.988121,-29.438005,84.99347,-70.244751,-17.397504,61.145072,-19.256629,12.040502,-23.848399
8.759593,0.0,0.0,0.0,58.442946,85.444768,-18.093982,70.643686,63.406176,-18.093982,12.20074,-22.038591
0.0,0.465322,9.982596,53.575491,-33.956482,79.764003,66.192601,-41.463449,49.610601,12.61711,-7.506967,-30.153402
7.503195,0.0,0.0,0.0,51.555166,91.769256,-12.621226,65.917567,76.847939,-12.621226,14.3624,-14.921317
3.434236,0.0,0.0,0.0,24.998402,106.116572,-1.639396,31.345315,105.183764,-1.639396,6.346914,-0.932808
0.0,7.387903,0.0,-44.068299,-25.442844,92.308882,-60.70003,-19.236617,77.515739,-16.631731,6.206227,-14.793143
0.0,3.534618,0.0,-22.264985,-12.854695,105.886342,-26.427379,-9.737562,104.637449,-4.162394,3.117133,-1.248893
0.0,3.418951,0.0,-21.555351,-12.444988,106.151053,-23.672854,-10.990599,105.709803,-2.117502,1.454389,-0.441251
0.0,9.566244,0.0,-54.072739,-31.21891,80.985788,-74.521486,-18.004878,52.18186,-20.448747,13.214032,-28.803928
5.104154,0.0,1.588738,9.97746,31.253061,103.180671,9.030289,42.205119,99.383861,-0.947171,10.952058,-3.79681
7.672015,0.0,4.528259,27.793434,38.32726,94.974957,25.292414,59.440955,80.785808,-2.50102,21.113695,-14.189149
6.316011,0.0,6.367938,39.416738,22.386118,96.359676,48.084094,40.416069,83.827642,8.667356,18.029951,-12.532033
0.0,7.613412,0.0,-45.197495,-26.094786,91.246756,-61.954368,-19.890391,75.995729,-16.756872,6.204394,-15.251026
0.0,0.0,1.438452,9.147054,-5.281054,109.320956,10.9305,-4.132782,109.395199,1.783447,1.148272,0.074243
0.0,0.0,9.428905,53.505493,-30.891411,81.765395,66.340944,-38.918077,54.006156,12.835451,-8.026667,-27.759239
0.371875,4.363314,0.0,-27.369604,-13.108343,104.204705,-34.176316,-9.426255,101.686626,-6.806712,3.682087,-2.518079
0.0,0.0,7.84378,46.330191,-26.748748,90.134033,60.341878,-33.781131,73.64473,14.011687,-7.032383,-16.489303
5.957571,0.0,0.0,0.0,42.118109,98.389241,-9.386967,53.622149,92.420552,-9.386967,11.504039,-5.968689
0.0,0.0,5.251414,32.484437,-18.754899,100.950904,40.646857,-23.087506,96.3348,8.162419,-4.332607,-4.616104
6.783636,0.0,0.275054,1.666177,46.487881,95.554026,-8.662825,59.925835,85.126464,-10.329001,13.437954,-10.427562
0.0,9.16748,0.0,-52.400714,-30.253566,83.226615,-73.311587,-16.618468,57.874713,-20.910874,13.635098,-25.351902
0.877017,0.0,2.572712,16.383727,-3.010056,108.299862,20.368056,-3.599597,108.927594,3.984329,-0.589542,0.627732
