target_index,method,source_dl1,source_dl2,source_dl3,target_x,target_y,target_z,ik_dl1,ik_dl2,ik_dl3,ik_dl_norm,ik_forward_x,ik_forward_y,ik_forward_z,ik_residual_norm,reached_x,reached_y,reached_z,err_x,err_y,err_z,err_norm,active_tendons,active_set,solver,nfev,success
22,PCC IK,8.53403073268166,0.0,0.0,-1.2488571750713147,59.03328732603452,85.62410819140813,8.895259713152086,0.21467006952382892,0.0,8.897849661754007,-1.2403284481972787,58.63013606560328,85.23691972167856,0.5590336206892297,-2.590488122651032,60.41673756722291,84.09163230646665,-1.3416309475797175,1.3834502411883918,-1.5324758849414764,2.462192215744951,1 2,1 2,scipy.least_squares,8,True
22,PCC+NN IK,8.53403073268166,0.0,0.0,-1.2488571750713147,59.03328732603452,85.62410819140813,8.539600174501256,0.0,0.0008956622554627761,8.539600221471305,-1.2488381413383145,59.05444632789706,85.6453644101446,0.029992174930716004,-1.2455204767937174,59.061569144962654,85.59484568210009,0.0033366982775973053,0.02828181892813575,-0.029262509308040308,0.0408324538606575,1 3,1 3,scipy.least_squares,23,True
23,PCC IK,0.0,0.5830274168906602,0.0,-3.219327211082259,-1.6372469352472585,110.18839819806394,0.030059810987601514,0.5046373438662712,0.0,0.5055318398093395,-3.2089320615045587,-1.63196029863035,109.9214119735844,0.26724081223364893,-2.7173168317706775,-1.1295039755844123,110.22113368618967,0.5020103793115815,0.5077429596628462,0.03273548812573779,0.7147649587148036,1 2,1 2,scipy.least_squares,8,True
23,PCC+NN IK,0.0,0.5830274168906602,0.0,-3.219327211082259,-1.6372469352472585,110.18839819806394,5.106982537831944e-09,0.5848343034810116,0.0,0.5848343034810116,-3.2395794865685854,-1.5994934165327872,110.16239667570652,0.050115486654339986,-3.2308997157468133,-1.6438654516086966,110.18770295048078,-0.011572504664554284,-0.006618516361438065,-0.0006952475831525362,0.013349568990781442,1 2,1 2,scipy.least_squares,17,True
24,PCC IK,0.0,0.0,6.6191651472689506,41.37237420132606,-23.097676247554713,95.38027616517446,0.11257218334453621,0.0,6.81887522069476,6.819804379296224,41.19429913218007,-22.998259157982133,95.09159081785603,0.3534596408457359,42.540879804093386,-22.94917224442739,94.70345028800322,1.1685056027673255,0.14850400312732148,-0.6768258771712397,1.3585109681751149,1 3,1 3,scipy.least_squares,8,True
24,PCC+NN IK,0.0,0.0,6.6191651472689506,41.37237420132606,-23.097676247554713,95.38027616517446,2.234938491706728e-17,0.0,6.6254191417414905,6.6254191417414905,41.381419096162766,-23.125919005284626,95.41190096459167,0.043354254981211086,41.40686649465503,-23.11759038239311,95.35210594431706,0.03449229332896664,-0.019914134838398212,-0.028170220857404615,0.04878373098286288,3,1 3,scipy.least_squares,20,True
25,PCC IK,7.8389820910641355,6.643135403273876,0.0,-41.25056192578568,33.00142480156372,90.94000971032361,8.102410524172594,6.792533034490229,0.0,10.572963696469587,-41.16222914030788,32.93075648076489,90.80645108791732,0.17502742120553075,-42.03898502247337,34.21351523386823,89.74576746944177,-0.7884230966876871,1.2120904323045067,-1.1942422408818345,1.8753636248421781,1 2,1 2,scipy.least_squares,7,True
25,PCC+NN IK,7.8389820910641355,6.643135403273876,0.0,-41.25056192578568,33.00142480156372,90.94000971032361,7.841623242203367,6.646151033494093,0.0,10.279220721079913,-41.25303861753495,33.003268286446335,90.9435852514036,0.004724080074262703,-41.26752057661403,33.008101105272395,90.92509988952852,-0.01695865082835013,0.006676303708673004,-0.014909820795082851,0.023547221179362685,1 2,1 2,scipy.least_squares,25,True
26,PCC IK,1.669729199077039,0.0,0.22712073133860478,1.8866232841075898,12.010864433019655,109.48104826161928,1.7742830488495775,0.0,0.2950547569746138,1.7986488392813926,1.8780153015846288,11.956063228951939,109.10720330350313,0.377938251622212,2.314994176514829,12.542214439999196,109.39595500130332,0.42837089240723913,0.5313500069795403,-0.08509326031595776,0.6878047065338615,1 3,1 3,scipy.least_squares,5,True
26,PCC+NN IK,1.669729199077039,0.0,0.22712073133860478,1.8866232841075898,12.010864433019655,109.48104826161928,1.6659009464987613,0.0,0.23277301185451388,1.6820847893591127,1.8866448609180193,12.011063103366153,109.4824825989339,0.0014481916300815346,1.9232790994975992,11.96214033841579,109.48727253803217,0.036655815390009394,-0.048724094603866064,0.006224276412893914,0.06128970397821356,1 3,1 3,scipy.least_squares,19,True
27,PCC IK,0.0,0.0,7.223593505964503,44.640112832569244,-24.984306025944356,92.5426868933919,0.11397583394712309,0.0,7.449193568887899,7.450065457261753,44.44873783011495,-24.877196676904152,92.2680431597906,0.3514626361687168,45.91035258628279,-24.89161199526358,91.68149904856942,1.2702397537135468,0.09269403068077509,-0.8611878448224815,1.53744779401061,1 3,1 3,scipy.least_squares,7,True
27,PCC+NN IK,0.0,0.0,7.223593505964503,44.640112832569244,-24.984306025944356,92.5426868933919,0.0,1.006052165352166e-09,7.221863385869608,7.221863385869608,44.609894581078414,-25.00952172390275,92.52512199250447,0.04309872260145822,44.63095616550172,-24.979019429054002,92.55113721429862,-0.00915666706752205,0.005286596890353934,0.008450320906717934,0.013535160948177046,2 3,2 3,scipy.least_squares,19,True
